財務
コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2023/03,146301000000,46966000000,43736000000,37317000000,23783000000,29816000000,4436.19,32.5
130A,2023/12,1655531000,1575639000,1575639000,33048000,-,-,286.41,95.2
1332,2023/03,549013000000,220635000000,189457000000,137621000000,100621000000,104913000000,696.72,39.5
1333,2023/03,637227000000,212522000000,163639000000,107313000000,174228000000,121910000000,1178.12,28
135A,2023/02,341115000,89211000,89211000,79311000,-,68691000,9.01,26.2
1375,2023/03,33304000000,10409000000,10409000000,16341000000,-,16070000000,260.99,31.3
1376,2023/05,46707875000,23513832000,22500481000,19721047000,-,-,2053.62,50.3
1377,2023/05,160715000000,138080000000,127373000000,108467000000,929000000,536000000,3104.38,85.7
1379,2023/03,104897000000,50955000000,50020000000,41943000000,7088000000,14072000000,1609.43,48.6
137A,2023/05,372505000,267160000,267160000,68916000,-,-,1929.93,71.7
1380,2023/03,6073371000,2138092000,2080103000,818392000,1326749000,1145099000,512.11,35.2
1381,2023/06,22636000000,19750000000,19533000000,18654000000,-,-,3516.92,87.2
1382,2023/06,1108040000,787717000,787717000,256069000,-,8012000,1034.18,71.1
1383,2023/10,5672245000,2082324000,2036531000,739022000,600000000,1127571000,1273.11,35.9
1384,2023/03,16849000000,10746000000,10636000000,8827000000,-,1730000000,1270.38,63.8
138A,2023/11,1764590000,363887000,363887000,343887000,-,825082000,541.5,20.6
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79
1401,2023/05,4131940000,3224860000,3191369000,2502497000,-,-,428.15,78
1407,2023/08,123802000000,31403000000,31337000000,31830000000,17866000000,60078000000,771.93,25.4
1414,2023/06,122280000000,98076000000,96334000000,65589000000,-,-,465.6,80.2
1417,2023/03,436752000000,254305000000,239993000000,184041000000,21505000000,30011000000,2573.49,56.5
1418,2023/02,7298237000,3280654000,3338666000,525929000,450000000,499465000,211.77,45
1419,2023/05,111508000000,34915000000,34864000000,27724000000,12915000000,3803000000,1203.07,31.3
141A,2023/06,200639000000,68020000000,64917000000,61778000000,-,15164000000,674.43,32.8
1420,2023/03,49913828000,14517628000,14539424000,6038462000,4408000000,11051000000,1308.19,29.1
1429,2023/12,20392151000,9304646000,9304273000,7523317000,2400000000,-,296.25,45.6
142A,2023/03,1634727000,22287000,22287000,-204012000,200000000,326549000,9.31,1.4
1430,2023/05,21466967000,7922920000,7919610000,7518736000,210000000,2995443000,664.54,36.9
1431,2023/06,8855228000,3315198000,3315198000,2029137000,2511080000,126000000,149.99,37.4
1433,2023/01,8427659000,4379118000,4484458000,3037498000,300000000,1870376000,493.05,51.8
1434,2023/08,16771154000,6528027000,5437659000,3462397000,1200673000,3992110000,819.24,33.4
1435,2023/12,12019376000,8594173000,8565728000,1395244000,427500000,218730000,95.58,71.5
1436,2023/04,10302784000,4751494000,4751285000,2995880000,1297510000,1541585000,1165.72,46.1
1438,2023/09,4695863000,3526542000,3476098000,2741407000,200000000,5290000,1100.08,75.1
1439,2023/12,4356318000,1830095000,1748858000,1261183000,125000000,573535000,1322.83,40.2
143A,2023/03,1596923000,1158056000,554533000,546533000,-,-,357.93,35.9
1443,2023/03,15725913000,9535472000,9680907000,7087776000,-,3566434000,587.33,60.6
1444,2023/07,2491444000,1479026000,1482292000,883210000,400000000,87890000,1359.42,59.4
1446,2023/09,6225228000,2706086000,2706086000,637069000,300000000,727517000,293.98,43.5
1447,2023/03,16771396000,2977471000,2699813000,-2109529000,4869635000,2856160000,108.75,15.7
1449,2023/12,687842000,269222000,269222000,183374000,50000000,196040000,126.4,39.1
1450,2023/03,8017883000,6217130000,6166372000,5620748000,-,-,714.7,77.5
1451,2023/03,16130097000,6157691000,6157434000,4712887000,200000000,3994642000,1549.17,38.2
145A,2023/12,1320628000,636232000,636232000,-937437000,30000000,483750000,153.12,48.2
146A,2023/12,32001000000,7140000000,7140000000,7034000000,3251000000,15296000000,1428,22.3
147A,2023/03,5663284000,3962089000,3744329000,16775000,-,-,99.34,67.5
148A,2023/12,1838204000,251520000,251520000,-956351000,100000000,231890000,147.27,13.7
1491,2023/03,10757263000,7177314000,7177314000,1009824000,1545550000,152383000,498.05,66.7
149A,2023/12,536751000,391938000,391938000,-119686000,-,21875000,145.58,73
150A,2023/03,1993094000,1332589000,1332589000,-577560000,-,145030000,57530.93,66.9
1514,2023/03,26143000000,20360000000,20154000000,17522000000,2900000000,-,382.57,77.9
1515,2023/03,208335000000,139410000000,114976000000,106385000000,19700000000,1117000000,1590.99,63.5
1518,2023/03,95025000000,56602000000,54407000000,41174000000,6846000000,5814000000,858.53,58.7
151A,2023/06,3146045000,963835000,963160000,953160000,-,368007000,133.77,30.6
153A,2023/12,1178698000,451657000,451657000,396657000,51000000,250000000,79.15,38.3
155A,2023/12,1837854000,713885000,713489000,663489000,150000000,173768000,83.94,38.8
156A,2023/08,2637682000,1432006000,1430822000,969392000,-,256382000,145.6,54.2
157A,2023/06,1065475000,639832000,639652000,746502000,-,60802000,200.52,60
1605,2023/12,6739476000000,4499033000000,4209101000000,2746530000000,161059000000,895923000000,4172.53,62.5
160A,2023/03,14744742000,1864938000,1864938000,1659338000,2058140000,3943272000,615.49,12.7
1662,2023/03,568180000000,457169000000,377141000000,362989000000,-,250000000,1569.83,74.9
1663,2023/12,111445000000,92929000000,88761000000,68025000000,357000000,569000000,3386.38,80.9
168A,2023/01,2227252000,270182000,267895000,64895000,-,1046732000,257.32,12.1
1711,2023/03,4456248000,620783000,520195000,-3564592000,2021000000,1235944000,59.69,11.7
1712,2023/02,21954000000,15945000000,14634000000,10260000000,1200000000,1187000000,884.75,67.8
1716,2023/06,21565860000,17233841000,16625078000,15896934000,-,300340000,1468.67,77.1
1717,2023/03,6620805000,4624012000,4607164000,4060890000,-,-,399.63,69.6
1718,2023/12,30118560000,17397618000,15193617000,13833967000,3150000000,1940809000,14026.2,50.9
1719,2023/03,318014000000,141324000000,135614000000,122656000000,16489000000,7463000000,897.84,44.2
1720,2023/03,249164000000,96020000000,89541000000,70112000000,20083000000,1887000000,905.99,38.2
1721,2023/03,502133000000,346725000000,344079000000,286284000000,3950000000,179000000,2824.12,67.9
1723,2023/03,43290000000,31077000000,30477000000,30045000000,-,-,484.93,71.8
1724,2023/12,10686000000,5683000000,5535000000,3920000000,100000000,400000000,1224.14,53.2
1726,2023/03,40355000000,13842000000,13647000000,7912000000,9200000000,5566000000,302.55,34
1730,2023/03,3102278000,1395360000,1393017000,1004990000,-,446875000,408.75,45
1734,2023/03,7415354000,-2638814000,-2695122000,-4192781000,5100000000,-,-4184.24,-35.6
1736,2023/03,28339248000,18479489000,17666328000,17027719000,976718000,212692000,1176.76,63.7
1738,2023/03,6819580000,4089294000,4065391000,3735389000,510000000,188006000,1008.93,60
1739,2023/06,29055255000,8534674000,8534674000,7813552000,6375510000,7996898000,1402.27,29.4
173A,2023/03,4583294000,1505818000,1490764000,1377935000,-,-,349.38,32.9
1743,2023/09,11899041000,8398452000,8216279000,5624410000,-,-,3692.71,70.6
1757,2023/03,423735000,257705000,247780000,-14268422000,43000000,-,0.96,58.5
1758,2023/01,12171696000,8619671000,8323702000,7879114000,-,244444000,4072.76,70.8
175A,2023/03,606599000,284612000,284612000,-287331000,116400000,12240000,211.76,46.9
1762,2023/03,233963000000,127759000000,127030000000,121233000000,-,-,3668.21,54.6
1764,2023/06,14655229000,4705258000,4668236000,3423287000,2040000000,1111997000,3762.93,32.1
1766,2023/04,198449000000,115290000000,115132000000,110519000000,-,-,8575.53,58.1
1768,2023/03,11546553000,8649385000,8475990000,7395474000,-,-,1183.98,74.9
176A,2023/06,14948669000,6222545000,6198178000,5114487000,-,2984295000,340.65,41.5
1770,2023/03,29115187000,16443759000,15909701000,15272794000,855000000,-,1797.89,56.5
1771,2023/09,13438990000,8607916000,8283342000,7227858000,115200000,329600000,1736.45,64.1
1775,2023/03,70200000000,37582000000,36328000000,27752000000,465000000,-,4102.12,52.6
1776,2023/03,28164000000,13358000000,13170000000,10366000000,-,-,1461.97,47.4
1777,2023/03,18354000000,10951000000,10923000000,8954000000,-,-,915.32,59.7
177A,2023/03,6134824000,3017830000,2975239000,2222777000,1200000000,-,724.57,49.2
1780,2023/03,25866769000,17244508000,16642908000,12589828000,-,-,911.09,66.7
1783,2023/09,7546020000,6401948000,6323306000,-4962911000,-,3772000,37.19,83.8
1786,2023/03,66787000000,41617000000,41352000000,40354000000,900000000,2611000000,358.22,62.3
1787,2023/03,11419156000,8008953000,7890518000,6643341000,-,-,3252.3,70.1
1788,2023/06,4867611000,3096998000,2979668000,1665801000,-,-,4996.92,63
1789,2023/09,6673903000,2704794000,2876862000,1125516000,610000000,677512000,424.51,40.5
1793,2023/03,103137000000,65623000000,63088000000,55617000000,11000000000,-,2295.3,63.6
1795,2023/09,7540025000,4754099000,4755158000,2663131000,-,101396000,5394.8,63.1
1798,2023/03,32398003000,12876475000,12715990000,9712417000,800000000,-,1175.77,39.7
1799,2023/03,75548603000,66511895000,63665233000,58756298000,-,-,3395.63,88
1801,2023/03,2016717000000,833944000000,714992000000,562774000000,81965000000,79606000000,4402,41.1
1802,2023/03,2609929000000,1035881000000,825047000000,728087000000,67170000000,124051000000,1390.77,38.2
1803,2023/03,2448010000000,907277000000,702081000000,625324000000,225655000000,134781000000,1150.7,34.8
1805,2023/03,128055000000,45730000000,44878000000,33698000000,11270000000,7373000000,2389.67,35.7
1807,2023/03,32276813000,19354289000,17268303000,15005357000,-,40870000,3161.58,59.7
1808,2023/03,1198105000000,454088000000,455121000000,427878000000,31500000000,230000000000,1666.3,37.9
1810,2023/03,71022000000,44172000000,40623000000,37084000000,-,-,1499.02,62.2
1811,2023/03,155749000000,79222000000,55963000000,52262000000,8050000000,4900000000,11061.51,50.9
1812,2023/03,2769718000000,1061145000000,881417000000,813653000000,244385000000,173293000000,2165.11,38
1813,2023/03,56128000000,31848000000,31198000000,13060000000,5521000000,105000000,2064.45,56
1814,2023/03,45625000000,21536000000,20798000000,16582000000,100000000,19000000,2055.44,47.2
1815,2023/03,183396000000,65543000000,53939000000,30563000000,22918000000,7115000000,4188.44,35.5
1820,2023/03,513623000000,156148000000,144294000000,157326000000,59239000000,3157000000,3770.74,29
1821,2023/03,410153000000,71137000000,65748000000,56886000000,10812000000,63443000000,406.52,15.5
1822,2023/03,170359000000,73179000000,71367000000,20843000000,950000000,6000000000,816.65,42.3
1826,2023/03,26781000000,15573000000,14725000000,10891000000,250000000,260000000,1017.29,58.2
1827,2023/03,79673000000,37839000000,34627000000,28201000000,618000000,353000000,1063.64,45.9
1828,2023/03,37574079000,20967650000,20828974000,18475355000,1000000000,300000000,1959.43,55.8
1832,2023/03,44173000000,27654000000,26667000000,19909000000,-,-,1334.7,62.6
1833,2023/03,343727000000,173215000000,144720000000,103827000000,10708000000,3110000000,4673.64,50
1835,2023/03,149700578000,103490067000,99768890000,97878547000,5000000000,-,2974.11,68.4
1840,2023/10,24968453000,12339137000,12246302000,860941000,-,2900000000,493.62,49.4
1841,2023/03,14617000000,11155505000,11047309000,10749564000,500000000,122553000,3096.93,76.3
1844,2023/07,11406497000,5144737000,5065355000,1178883000,346593000,4008946000,289.36,44.4
1847,2023/03,55714000000,27531000000,27148000000,22631000000,1605000000,4153000000,1894.64,49.4
1848,2023/03,28791000000,9928000000,9838000000,6064000000,5143000000,1240000000,559.33,34.5
184A,2023/04,369742000,171059000,171059000,-59185000,-,64741000,82.71,46.3
1850,2023/03,34856000000,14453000000,14239000000,10540000000,4084000000,329000000,501.32,41.5
1852,2023/03,93034000000,44667000000,42646000000,30919000000,1460000000,6884000000,545.68,47.3
1853,2023/03,23777000000,14060000000,14001000000,12163000000,800000000,-,429.29,59.1
1860,2023/03,815556000000,323261000000,243159000000,200996000000,81568000000,74724000000,1023.64,38.9
1861,2023/03,376650000000,169860000000,164113000000,117498000000,3893000000,18303000000,973.52,45.1
1866,2023/03,74761000000,38861000000,35562000000,25811000000,-,-,1611.39,51.3
1867,2023/03,46976285000,25102237000,25031215000,14698381000,2269410000,396336000,3863.96,53.4
1869,2023/03,103275000000,64440000000,56148000000,53679000000,1514000000,1750000000,2543.25,62.2
186A,2023/04,30437660000,14890596000,14890596000,-4287627000,988990000,5475010000,165.36,48.9
1870,2023/03,129987000000,60431000000,65062000000,51896000000,28100000000,3800000000,1405.11,46.5
1871,2023/03,116082000000,47872000000,45096000000,33368000000,25893000000,3400000000,1031,41.2
1873,2023/10,43705000000,22694000000,22259000000,18365000000,768000000,5009000000,558.77,51.1
1878,2023/03,1061909000000,404933000000,405439000000,352811000000,1026000000,67318000000,1175.27,38.2
1879,2023/03,156025000000,102428000000,102230000000,95699000000,-,-,1751.21,65.6
1882,2023/03,87184000000,52711000000,48688000000,35722000000,2036000000,150000000,1080.45,59.1
1884,2023/03,151850000000,96909000000,97103000000,70291000000,100000000,6600000000,2201.95,63.7
1885,2023/03,226928000000,89361000000,82319000000,46602000000,30708000000,10335000000,1017.95,39.1
1887,2023/05,162339000000,78029000000,76152000000,57441000000,1381000000,23740000000,935.1,48
1888,2023/03,88326000000,42694000000,38220000000,24235000000,1550000000,2794000000,3240.52,46.8
1890,2023/03,153717000000,73984000000,68680000000,48701000000,2951000000,1754000000,763.86,46.7
1892,2023/03,44917000000,17642000000,17556000000,12181000000,1986000000,1712000000,8407.51,39.2
1893,2023/03,508179000000,156953000000,146257000000,97931000000,32429000000,21265000000,550.03,30.9
1897,2023/12,22201000000,18151000000,15561000000,17313000000,-,-,8259.91,80.2
1898,2023/03,78762000000,39660000000,39506000000,37810000000,106000000,6800000000,1088.1,50.4
1899,2023/12,136731000000,80333000000,78448000000,70651000000,745000000,754000000,9624.2,58.2
189A,2023/05,8096201000,1101885000,1101885000,825015000,5546230000,699200000,718.31,13.6
1904,2023/03,41175915000,25256208000,23910851000,15086821000,-,-,4309.72,61.3
1905,2023/03,18770879000,12467397000,12065674000,8581570000,-,9940000,1850.63,64.4
1909,2023/03,47900827000,23352318000,18523953000,15214908000,2972314000,1891748000,690.69,39.8
190A,2023/08,4909123000,4500881000,4474948000,-3894652000,-,-,79.28,91.2
1911,2023/12,1824727000000,826462000000,613089000000,523988000000,51755000000,230306000000,1228.29,41.3
1914,2023/03,30235000000,20627257000,19833416000,12861201000,3100000000,-,1030.69,68.2
1921,2023/03,56567000000,41924346000,36719545000,32389241000,1336000000,1224500000,1057.9,74.1
1925,2023/03,6142067000000,2388914000000,2155842000000,1710582000000,133028000000,945507000000,3466.85,37.2
1926,2023/03,122925000000,85437000000,83349000000,75792000000,1532000000,181000000,1721.34,68.7
1928,2023/01,3007537000000,1667546000000,1468274000000,1056475000000,305503000000,157372000000,2466.04,54.3
1929,2023/03,52809000000,32127000000,31722000000,23918000000,-,-,763.64,60.3
192A,2023/05,1096356000,690011000,690011000,590011000,-,-,345.01,62.9
1930,2023/03,54803000000,40717000000,40547000000,35122000000,-,-,1454.69,74.3
1934,2023/03,221400000000,134488000000,134047000000,118713000000,3728000000,4529000000,1877.69,60.7
1938,2023/03,82853824000,56783621000,55142709000,51025267000,-,-,2275.78,68.5
1939,2023/03,97069000000,55908000000,55927000000,48819000000,400000000,8205000000,1182.44,57.5
1941,2023/03,272514000000,202069000000,192551000000,195580000000,-,-,3638.67,73.2
1942,2023/03,487828000000,308457000000,289594000000,273487000000,7590000000,5451000000,1460.23,61.2
1944,2023/03,742841000000,532713000000,488431000000,433604000000,15070000000,25000000,2598.72,71.6
1945,2023/03,108513000000,65938000000,63955000000,59025000000,2368000000,6821000000,1934.4,61.1
1946,2023/03,300172000000,117193000000,110302000000,97310000000,9082000000,22381000000,1253.43,39
1948,2023/03,31578000000,18725000000,18350000000,15826000000,560000000,-,2102.43,59
1949,2023/03,162587000000,99618000000,85994000000,73869000000,1597000000,921000000,2681.09,58.4
194A,2023/06,5452324000,1519974000,1519803000,-881484000,150000000,2587666000,191.82,27.9
1950,2023/03,261371000000,190234000000,166934000000,150674000000,100000000,-,2883.15,67.8
1951,2023/03,577941000000,307941000000,286256000000,256303000000,28748000000,53632000000,1416.1,52.5
1952,2023/03,109146000000,58212000000,48751000000,38130000000,3267000000,249000000,1243.58,53.2
1954,2023/06,195391000000,83784000000,80873000000,60407000000,28716000000,17385000000,5367.86,41.4
1959,2023/03,446410000000,263017000000,259516000000,233918000000,2461000000,30604000000,3681.84,58.4
195A,2023/03,1255426000,641882000,641027000,-121928000,24998000,233623000,234.03,51.1
1960,2023/03,45635000000,29990000000,28558876000,27960274000,419351000,-,1855.68,65.6
1961,2023/03,172305000000,90913000000,80011000000,73051000000,6674000000,1400000000,1666.33,52.6
1963,2023/03,713127000000,397981000000,391889000000,369066000000,2336000000,13891000000,1651.54,55.7
1964,2023/03,41178000000,24041000000,21087000000,13775000000,2800000000,1188000000,3146.6,57.9
1965,2023/03,63457000000,43375000000,38990000000,34743000000,-,-,1992.25,68.4
1966,2023/03,39695247000,16073073000,16009617000,12391142000,4800000000,74127000,2493.75,39.8
1967,2023/03,47703143000,34361342000,32594789000,23684149000,900000000,580291000,1354.24,72
1968,2023/03,147039000000,89533000000,85997000000,79166000000,-,9255000000,1545.68,60
1969,2023/03,313391000000,147165000000,132172000000,113913000000,4815000000,-,1075.51,45.5
196A,2023/06,1944322000,1188830000,1188830000,-1346648000,65670000,316330000,186.55,61.1
1971,2023/03,9130051000,2450097000,2450097000,1211460000,1700000000,1882662000,1042.09,26.8
1972,2023/03,36707000000,22990000000,20980000000,18947000000,-,-,1192.52,62.6
1973,2023/03,267000000000,145714000000,142065000000,112486000000,8653000000,3000000000,948.23,52.9
1975,2023/03,78941000000,35380000000,31792000000,24830000000,3300000000,-,1376.67,44.8
1976,2023/03,77508000000,59448000000,56234000000,51396000000,-,800000000,1185.82,76.2
1979,2023/03,237105000000,131992000000,109133000000,100296000000,2942000000,98000000,1894.35,53.1
197A,2023/06,18332162000,8489871000,8487066000,5603766000,3500000000,2236000000,84.8,46.3
1980,2023/03,148544000000,82424000000,74822000000,68638000000,2901000000,720000000,640.21,55.4
1981,2023/03,26390030000,17639938000,17213078000,17189730000,-,-,1582.99,66.8
1982,2023/03,94687000000,64714000000,59091000000,51277000000,-,-,1385.72,67.2
198A,2023/05,918037000,605554000,602084000,601084000,-,-,60.21,65.6
1992,2023/03,8602372000,5281687000,4746074000,2510257000,200000000,-,2218.23,61.4
1994,2023/12,12709925000,10701213000,10675030000,7762232000,535000000,144000000,1293.17,84.2
1997,2023/08,9549744000,6344205000,6298895000,4982141000,-,380713000,3115.69,66.4
1999,2023/06,7177510000,4596490000,4727152000,3225578000,1322623000,108200000,7291.25,64
2001,2023/03,344606000000,192613000000,149612000000,128965000000,17572000000,21175000000,2420.19,54.8
2002,2023/03,713874000000,438499000000,344037000000,325181000000,14356000000,13378000000,1425.23,59.4
2003,2023/03,60944000000,45558000000,40677000000,34603000000,500000000,-,1249.13,74.7
2004,2023/03,247770000000,116362000000,103762000000,82751000000,16477000000,1853000000,3378.45,45.6
2009,2023/12,42305184000,34482961000,28863654000,25370188000,2190940000,158009000,1480.22,81.4
202A,2023/03,4614336000,3390142000,3389915000,3289415000,-,-,42.37,73.5
2053,2023/03,97595000000,61410000000,59887000000,51791000000,6363000000,4160000000,2070.57,62.7
2055,2023/03,29708000000,17435000000,17142000000,13949000000,4269000000,-,962.57,58.7
2058,2023/03,14367000000,5216000000,4965000000,4814000000,3731000000,2179000000,1324.89,36.3
205A,2023/05,14692621000,3190802000,3185218000,1680208000,1934627000,2569501000,82.7,21.7
2060,2023/03,127913000000,45314000000,43445000000,23952000000,16803000000,19208000000,1172.56,35
206A,2023/09,1211426000,1148015000,1147591000,-493220000,-,-,41.57,94.7
2107,2023/03,11851000000,10001000000,9865000000,6966000000,-,-,1833.96,84.4
2108,2023/03,103149000000,68134000000,58473000000,45521000000,18637000000,119000000,5102.1,66.1
2109,2023/03,196123000000,112578000000,104036000000,89136000000,9017000000,16060000000,3321.05,54.7
2112,2023/03,25877000000,11028000000,11493000000,12448000000,4800000000,5156000000,403.94,42.6
2114,2023/03,28256487000,21514208000,19007090000,16097588000,2230300000,-,399.42,75.9
2117,2023/03,93572000000,68264000000,68264000000,28563000000,9000000000,-,2083.7,73
211A,2023/07,7667228000,3045293000,3045293000,2792362000,-,1591438000,3212.33,39.7
2120,2023/09,51166000000,32554000000,32456000000,11662000000,5329000000,297000000,253.57,63.4
2121,2023/03,222321000000,183463000000,180116000000,177655000000,912000000,6873000000,2480.49,81.4
2122,2023/09,11094044000,5780519000,5734103000,4650719000,-,-,920.93,52.1
2124,2023/12,23518000000,17217000000,16930000000,17722000000,-,-,107.9,73.2
2127,2023/03,65765062000,54720538000,54043518000,51052399000,-,-,164.48,82.8
212A,2023/10,4106807000,1074108000,1074108000,924108000,-,720017000,71.89,26.2
2130,2023/03,11305879000,6366305000,6366305000,5275424000,-,-,486.49,56.3
2134,2023/03,1324111000,658384000,617488000,-8095976000,200600000,147990000,4.7,49.1
2136,2023/03,5768040000,3634991000,3634991000,2920023000,600000000,-,914.42,63
2137,2023/03,7750102000,3650605000,3650605000,2398011000,100000000,-,1747.37,47.1
2138,2023/03,25408910000,9968966000,9649827000,10437457000,-,467358000,879.88,38.5
2139,2023/03,4579376000,1880202000,1829516000,1346240000,555000000,478524000,268.37,39.9
2146,2023/03,71630000000,29928000000,22454000000,21430000000,403000000,12400000000,37.58,31.8
2148,2023/03,11158256000,9429206000,9429206000,6603927000,-,-,476.37,84.5
2150,2023/12,14168782000,11501516000,11265340000,6486661000,-,71092000,252.23,79.3
2151,2023/03,90453000000,37429000000,35871000000,17457000000,7052000000,20866000000,1250.17,39.6
2152,2023/03,12095279000,8752371000,8481128000,8509548000,-,-,810.21,72.4
2153,2023/05,39194000000,29869000000,29100000000,22371000000,-,128000000,1910.55,76.2
2154,2023/06,101491000000,65016000000,64956000000,-13967000000,1415000000,120000000,750.49,64
2156,2023/03,4217205000,1873852000,1861427000,1682930000,125000000,332492000,496.03,44.4
2157,2023/08,57007803000,25394514000,25722546000,20455244000,-,6937210000,311.36,44.5
2158,2023/03,9126041000,5050051000,3704952000,-2116714000,500000000,1644976000,123.5,53.2
215A,2023/10,17800156000,6201964000,6182665000,-894128000,7050200000,908415000,65.22,34.7
2160,2023/12,64269000000,36504000000,33794000000,8790563000,1300000000,1600000000,678,52.6
2162,2023/03,38932120000,2514880000,3227549000,3482424000,15232313000,4731726000,161.19,6.4
2163,2023/01,5673188000,4047958000,4042126000,3636258000,-,-,380.96,71.4
2164,2023/08,1109187000,154252000,154185000,-350480000,200000000,165878000,27.73,13.9
2168,2023/05,275504000000,71624000000,52658000000,32941000000,10296000000,43505000000,1378.39,19.6
2169,2023/12,10767513000,8291905000,8248764000,6162775000,700000000,-,1215.83,77
2170,2023/12,30843000000,12940000000,10165000000,7396000000,-,-,92.87,33
2172,2023/06,1272687000,631808000,621619000,434323000,100000000,78290000,387.3,48.8
2173,2023/12,7667146000,2642258000,2639310000,2338072000,30000000,1688100000,171.28,34.5
2175,2023/03,65098000000,38421000000,35624000000,33190000000,-,6153000000,435.28,58.3
2179,2023/03,8512952000,3151640000,3175654000,3027852000,-,1615179000,568.04,37
2180,2023/06,8595398000,3728275000,3361094000,2247658000,586000000,411109000,238.78,41.4
2181,2023/03,488728000000,183529000000,169670000000,154926000000,21174000000,30117000000,76.83,34.7
2183,2023/03,17464607000,7581215000,6849726000,7293144000,600000000,1993590000,335.65,43.4
2185,2023/09,24746506000,19222517000,18408641000,18348015000,80120000,309685000,1428.67,76.5
2186,2023/02,5181708000,3910850000,3895914000,3904239000,-,-,495.21,75.2
218A,2023/07,1074305000,563290000,563229000,-700621000,-,308210000,34.55,52.4
2193,2023/12,14597655000,13727899000,13727899000,3268637000,-,-,146.87,94
2195,2023/12,6175708000,2266204000,2217210000,1480808000,-,1807055000,128.77,36.6
2196,2023/03,22985116000,5870025000,5897638000,1426965000,4854000000,3303573000,434.45,25.5
2198,2023/10,20012005000,10050083000,9948620000,9671036000,150000000,3132601000,341.68,50
219A,2023/10,5719751000,5269559000,5256929000,-2964803000,-,-,260.31,91.9
2201,2023/03,205226000000,125856000000,115482000000,83396000000,-,10000000000,1322.61,60.7
2204,2023/03,42480364000,25742043000,24250052000,8678198000,6300000000,-,4318.94,60.6
2206,2023/12,395743000000,263116000000,230089000000,226230000000,-,-,4128.68,66.3
2207,2023/03,70276000000,44637000000,29633000000,28931000000,100000000,9844000000,2640.44,63.5
2208,2023/03,87630000000,53540000000,53600000000,46715000000,2000000000,2676000000,2228.57,61.1
2209,2023/03,34107247000,18684431000,16224196000,9841358000,2600000000,-,1425.61,54.7
220A,2023/09,2078251000,1594424000,1589036000,1605316000,-,-,531.47,76.7
2211,2023/12,83125000000,60640000000,53763000000,31440000000,960000000,-,2170.05,67.3
2212,2023/12,802035000000,446132000000,337856000000,343395000000,55608000000,16690000000,1942.84,49.9
2215,2023/12,17730000000,6211000000,6150000000,-803000000,3800000000,-,896.95,35
2216,2023/12,25839244000,14533900000,14446167000,9845310000,-,-,347.98,56.2
2217,2023/01,26595951000,18580216000,18232161000,10688523000,1670000000,-,880.14,69.9
2218,2023/03,13999428000,4903278000,1945436000,908742000,600000000,1361500000,2342.64,35
2220,2023/03,111182000000,67996000000,59378000000,59163000000,7034000000,13470000000,1025.36,58.3
2221,2023/03,83555499000,62061796000,24042238000,21612920000,-,806000000,5537.06,74.3
2222,2023/03,36953000000,26517000000,26390863000,23855214000,-,300000000,170.42,71.8
2224,2023/03,4771846000,1978515000,3910377000,3860208000,800000000,503360000,569.43,41.5
2226,2023/03,29576000000,15194000000,15023000000,10603000000,500000000,746000000,1410.47,50.9
2229,2023/03,239095000000,182686000000,168730000000,178329000000,1290000000,-,1393.73,72.8
2264,2023/03,487441000000,228249000000,214009000000,186518000000,5233000000,20196000000,2463.65,45.7
2266,2023/12,50985000000,30096646000,28889008000,25840204000,5000000000,3000000000,1544.75,59
2267,2023/03,749419000000,545496000000,475006000000,484243000000,3208000000,14559000000,1597.54,66.5
2268,2023/12,21351145000,12371827000,12213938000,11255092000,-,514070000,1283.94,57.9
2269,2023/03,1136217000000,751311000000,665149000000,602042000000,4874000000,39496000000,2553.69,62.7
2270,2023/03,410130000000,215899000000,183609000000,151908000000,10200000000,32178000000,3151.73,51.9
2281,2023/03,229887000000,123194000000,104025000000,86324000000,323000000,19783000000,2252.05,49.2
2282,2023/03,937155000000,502781000000,492913000000,369389000000,-,-,4808.7,52.6
2286,2023/03,26755000000,9932000000,9074042000,5714539000,6724735000,1704856000,1125.69,37.1
2288,2023/03,126261000000,69014000000,63848000000,38388000000,9858000000,5255000000,2730.99,54.1
228A,2023/11,1096565000,157252000,157252000,59252000,-,-,95.86,14.3
2291,2023/03,13706000000,2227000000,1662000000,-2451000000,4253000000,1951000000,666.78,16.2
2292,2023/02,204778000000,117306000000,103507000000,80861000000,12275000000,26971000000,3481.6,53.8
2293,2023/03,12774866000,3657673000,3191310000,1431418000,2400000000,991031000,1781.14,28.6
2294,2023/04,21725000000,17007000000,16935000000,18117000000,-,-,1623.73,78.3
2296,2023/03,436763000000,269261000000,257655000000,140066000000,32062000000,446000000,4717,61.5
2300,2023/02,3773299000,1776956000,1686421000,902300000,100000000,316602000,337.75,47.1
2301,2023/10,15605815000,13265283000,13427717000,10360309000,-,-,948.81,84.9
2303,2023/05,2495562000,2226246000,2224333000,1666919000,-,-,715.55,89.2
2304,2023/09,5700595000,2346000000,2213612000,1650321000,750000000,-,469.7,41.2
2305,2023/02,43225834000,30525256000,28904434000,25239613000,-,-,1721.85,67.7
2307,2023/03,8593972000,5076009000,4522876000,4138119000,700000000,-,337.8,59.1
